Column1.1,Column1.2
dynaplot,
LS-DYNA keyword deck by,LS-PrePost
X-displacement,
Resultant,Force
Mat/Node,Ids
         1     ,1000
     ,7373
* Minval=     6.7795999348e-04 at time=        ,0.0000000000
* Maxval=     2.3943780518e+02 at time=        ,0.0000000000
    6.8868923187e+00   ,5.9961009026e-01
    6.9069118500e+00   ,6.0113149881e-01
    6.9269323349e+00   ,6.0265284777e-01
    6.9469523430e+00   ,6.0417425632e-01
    6.9669723511e+00   ,6.0569560528e-01
    6.9869918823e+00   ,6.0721701384e-01
    7.0070123672e+00   ,6.0872149467e-01
    7.0270318985e+00   ,6.1019486189e-01
    7.0470523834e+00   ,6.1166822910e-01
    7.0670719147e+00   ,6.1314165592e-01
    7.0870923996e+00   ,6.1461502314e-01
    7.1071119308e+00   ,6.1608839035e-01
    7.1271324158e+00   ,6.1756175756e-01
    7.1471519470e+00   ,6.1903518438e-01
    7.1671719551e+00   ,6.2050855160e-01
    7.1871919632e+00   ,6.2198191881e-01
    7.2072124481e+00   ,6.2345528603e-01
    7.2272319794e+00   ,6.2492871284e-01
    7.2472524643e+00   ,6.2640208006e-01
    7.2672719955e+00   ,6.2787544727e-01
    7.2872920036e+00   ,6.2934881449e-01
    7.3073120117e+00   ,6.3082224131e-01
    7.3273320198e+00   ,6.3229560852e-01
    7.3473520279e+00   ,6.3376897573e-01
    7.3673720360e+00   ,6.3524234295e-01
    7.3873920441e+00   ,6.3671576977e-01
    7.4074125290e+00   ,6.3818913698e-01
    7.4274320602e+00   ,6.3966250420e-01
    7.4474520683e+00   ,6.4113587141e-01
    7.4674720764e+00   ,6.4260923862e-01
    7.4874920845e+00   ,6.4408266544e-01
    7.5075120926e+00   ,6.4554017782e-01
    7.5275321007e+00   ,6.4697140455e-01
    7.5475521088e+00   ,6.4840263128e-01
    7.5675721169e+00   ,6.4983385801e-01
    7.5875921249e+00   ,6.5126502514e-01
    7.6076121330e+00   ,6.5269625187e-01
    7.6276321411e+00   ,6.5412747860e-01
    7.6476521492e+00   ,6.5555870533e-01
    7.6676721573e+00   ,6.5698987246e-01
    7.6876921654e+00   ,6.5842109919e-01
    7.7077121735e+00   ,6.5985232592e-01
    7.7277321815e+00   ,6.6128355265e-01
    7.7477521896e+00   ,6.6271471977e-01
    7.7677721977e+00   ,6.6414594650e-01
    7.7877922058e+00   ,6.6557717323e-01
